1497236289662,ec:08:6b:37:ab:2e,-73;,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-85;,b4:c7:99:eb:77:d0,-85;,34:6f:90:35:f3:e2,-82;,34:6f:90:35:f3:e0,-83;,18:ef:63:9b:5e:e9,-82;,18:ef:63:9b:5e:ea,-84;,18:ef:63:9b:5e:e7,-85;,8e:15:44:60:0e:7a,-90;,88:15:44:60:0e:7a,-90;,c8:d3:ff:7c:b3:b5,-93;,,903d185fccf839df
1497236294286,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-84;,b4:c7:99:eb:77:d0,-72;,34:6f:90:35:f3:e0,-79;,18:ef:63:9b:5e:e9,-71;,18:ef:63:9b:5e:ea,-72;,18:ef:63:9b:5e:e7,-72;,8e:15:44:60:0e:7a,-86;,88:15:44:60:0e:7a,-88;,18:ef:63:9b:5e:e6,-68;,18:ef:63:9b:5e:e4,-70;,18:ef:63:9b:5e:e3,-70;,18:ef:63:9b:5e:e2,-71;,34:6f:90:9d:01:70,-84;,f0:29:29:d7:93:c0,-88;,18:ef:63:58:c3:06,-89;,18:ef:63:58:c3:03,-89;,18:ef:63:58:c3:04,-89;,18:ef:63:58:c3:09,-89;,18:ef:63:58:c3:02,-89;,18:83:bf:a9:65:f0,-91;,18:ef:63:9b:9a:82,-91;,18:ef:63:58:c3:0a,-91;,40:55:39:e8:d4:30,-91;,34:6f:90:9d:01:72,-84;,f0:29:29:d7:93:c2,-89;,,903d185fccf839df
1497236294394,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-84;,b4:c7:99:eb:77:d0,-72;,34:6f:90:35:f3:e0,-79;,18:ef:63:9b:5e:e9,-71;,18:ef:63:9b:5e:ea,-72;,18:ef:63:9b:5e:e7,-72;,8e:15:44:60:0e:7a,-86;,88:15:44:60:0e:7a,-88;,18:ef:63:9b:5e:e6,-68;,18:ef:63:9b:5e:e4,-70;,18:ef:63:9b:5e:e3,-70;,18:ef:63:9b:5e:e2,-71;,34:6f:90:9d:01:70,-84;,f0:29:29:d7:93:c0,-88;,18:ef:63:58:c3:06,-89;,18:ef:63:58:c3:03,-89;,18:ef:63:58:c3:04,-89;,18:ef:63:58:c3:09,-89;,18:ef:63:58:c3:02,-89;,18:83:bf:a9:65:f0,-91;,18:ef:63:9b:9a:82,-91;,18:ef:63:58:c3:0a,-91;,40:55:39:e8:d4:30,-91;,34:6f:90:9d:01:72,-84;,f0:29:29:d7:93:c2,-89;,,903d185fccf839df
1497236294689,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-84;,b4:c7:99:eb:77:d0,-72;,34:6f:90:35:f3:e0,-79;,18:ef:63:9b:5e:e9,-71;,18:ef:63:9b:5e:ea,-72;,18:ef:63:9b:5e:e7,-72;,8e:15:44:60:0e:7a,-86;,88:15:44:60:0e:7a,-88;,18:ef:63:9b:5e:e6,-68;,18:ef:63:9b:5e:e4,-70;,18:ef:63:9b:5e:e3,-70;,18:ef:63:9b:5e:e2,-71;,34:6f:90:9d:01:70,-84;,f0:29:29:d7:93:c0,-88;,18:ef:63:58:c3:06,-89;,18:ef:63:58:c3:03,-89;,18:ef:63:58:c3:04,-89;,18:ef:63:58:c3:09,-89;,18:ef:63:58:c3:02,-89;,18:83:bf:a9:65:f0,-91;,18:ef:63:9b:9a:82,-91;,18:ef:63:58:c3:0a,-91;,40:55:39:e8:d4:30,-91;,34:6f:90:9d:01:72,-84;,f0:29:29:d7:93:c2,-89;,,903d185fccf839df
1497236294995,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-84;,b4:c7:99:eb:77:d0,-72;,34:6f:90:35:f3:e0,-79;,18:ef:63:9b:5e:e9,-71;,18:ef:63:9b:5e:ea,-72;,18:ef:63:9b:5e:e7,-72;,8e:15:44:60:0e:7a,-86;,88:15:44:60:0e:7a,-88;,18:ef:63:9b:5e:e6,-68;,18:ef:63:9b:5e:e4,-70;,18:ef:63:9b:5e:e3,-70;,18:ef:63:9b:5e:e2,-71;,34:6f:90:9d:01:70,-84;,f0:29:29:d7:93:c0,-88;,18:ef:63:58:c3:06,-89;,18:ef:63:58:c3:03,-89;,18:ef:63:58:c3:04,-89;,18:ef:63:58:c3:09,-89;,18:ef:63:58:c3:02,-89;,18:83:bf:a9:65:f0,-91;,18:ef:63:9b:9a:82,-91;,18:ef:63:58:c3:0a,-91;,40:55:39:e8:d4:30,-91;,34:6f:90:9d:01:72,-84;,f0:29:29:d7:93:c2,-89;,,903d185fccf839df
1497236295295,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-84;,b4:c7:99:eb:77:d0,-72;,34:6f:90:35:f3:e0,-79;,18:ef:63:9b:5e:e9,-71;,18:ef:63:9b:5e:ea,-72;,18:ef:63:9b:5e:e7,-72;,8e:15:44:60:0e:7a,-86;,88:15:44:60:0e:7a,-88;,18:ef:63:9b:5e:e6,-68;,18:ef:63:9b:5e:e4,-70;,18:ef:63:9b:5e:e3,-70;,18:ef:63:9b:5e:e2,-71;,34:6f:90:9d:01:70,-84;,f0:29:29:d7:93:c0,-88;,18:ef:63:58:c3:06,-89;,18:ef:63:58:c3:03,-89;,18:ef:63:58:c3:04,-89;,18:ef:63:58:c3:09,-89;,18:ef:63:58:c3:02,-89;,18:83:bf:a9:65:f0,-91;,18:ef:63:9b:9a:82,-91;,18:ef:63:58:c3:0a,-91;,40:55:39:e8:d4:30,-91;,34:6f:90:9d:01:72,-84;,f0:29:29:d7:93:c2,-89;,,903d185fccf839df
1497236295624,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-84;,b4:c7:99:eb:77:d0,-72;,34:6f:90:35:f3:e0,-79;,18:ef:63:9b:5e:e9,-71;,18:ef:63:9b:5e:ea,-72;,18:ef:63:9b:5e:e7,-72;,8e:15:44:60:0e:7a,-86;,88:15:44:60:0e:7a,-88;,18:ef:63:9b:5e:e6,-68;,18:ef:63:9b:5e:e4,-70;,18:ef:63:9b:5e:e3,-70;,18:ef:63:9b:5e:e2,-71;,34:6f:90:9d:01:70,-84;,f0:29:29:d7:93:c0,-88;,18:ef:63:58:c3:06,-89;,18:ef:63:58:c3:03,-89;,18:ef:63:58:c3:04,-89;,18:ef:63:58:c3:09,-89;,18:ef:63:58:c3:02,-89;,18:83:bf:a9:65:f0,-91;,18:ef:63:9b:9a:82,-91;,18:ef:63:58:c3:0a,-91;,40:55:39:e8:d4:30,-91;,34:6f:90:9d:01:72,-84;,f0:29:29:d7:93:c2,-89;,,903d185fccf839df
1497236295902,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-84;,b4:c7:99:eb:77:d0,-72;,34:6f:90:35:f3:e0,-79;,18:ef:63:9b:5e:e9,-71;,18:ef:63:9b:5e:ea,-72;,18:ef:63:9b:5e:e7,-72;,8e:15:44:60:0e:7a,-86;,88:15:44:60:0e:7a,-88;,18:ef:63:9b:5e:e6,-68;,18:ef:63:9b:5e:e4,-70;,18:ef:63:9b:5e:e3,-70;,18:ef:63:9b:5e:e2,-71;,34:6f:90:9d:01:70,-84;,f0:29:29:d7:93:c0,-88;,18:ef:63:58:c3:06,-89;,18:ef:63:58:c3:03,-89;,18:ef:63:58:c3:04,-89;,18:ef:63:58:c3:09,-89;,18:ef:63:58:c3:02,-89;,18:83:bf:a9:65:f0,-91;,18:ef:63:9b:9a:82,-91;,18:ef:63:58:c3:0a,-91;,40:55:39:e8:d4:30,-91;,34:6f:90:9d:01:72,-84;,f0:29:29:d7:93:c2,-89;,,903d185fccf839df
1497236296191,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-84;,b4:c7:99:eb:77:d0,-72;,34:6f:90:35:f3:e0,-79;,18:ef:63:9b:5e:e9,-71;,18:ef:63:9b:5e:ea,-72;,18:ef:63:9b:5e:e7,-72;,8e:15:44:60:0e:7a,-86;,88:15:44:60:0e:7a,-88;,18:ef:63:9b:5e:e6,-68;,18:ef:63:9b:5e:e4,-70;,18:ef:63:9b:5e:e3,-70;,18:ef:63:9b:5e:e2,-71;,34:6f:90:9d:01:70,-84;,f0:29:29:d7:93:c0,-88;,18:ef:63:58:c3:06,-89;,18:ef:63:58:c3:03,-89;,18:ef:63:58:c3:04,-89;,18:ef:63:58:c3:09,-89;,18:ef:63:58:c3:02,-89;,18:83:bf:a9:65:f0,-91;,18:ef:63:9b:9a:82,-91;,18:ef:63:58:c3:0a,-91;,40:55:39:e8:d4:30,-91;,34:6f:90:9d:01:72,-84;,f0:29:29:d7:93:c2,-89;,,903d185fccf839df
1497236296496,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-84;,b4:c7:99:eb:77:d0,-72;,34:6f:90:35:f3:e0,-79;,18:ef:63:9b:5e:e9,-71;,18:ef:63:9b:5e:ea,-72;,18:ef:63:9b:5e:e7,-72;,8e:15:44:60:0e:7a,-86;,88:15:44:60:0e:7a,-88;,18:ef:63:9b:5e:e6,-68;,18:ef:63:9b:5e:e4,-70;,18:ef:63:9b:5e:e3,-70;,18:ef:63:9b:5e:e2,-71;,34:6f:90:9d:01:70,-84;,f0:29:29:d7:93:c0,-88;,18:ef:63:58:c3:06,-89;,18:ef:63:58:c3:03,-89;,18:ef:63:58:c3:04,-89;,18:ef:63:58:c3:09,-89;,18:ef:63:58:c3:02,-89;,18:83:bf:a9:65:f0,-91;,18:ef:63:9b:9a:82,-91;,18:ef:63:58:c3:0a,-91;,40:55:39:e8:d4:30,-91;,34:6f:90:9d:01:72,-84;,f0:29:29:d7:93:c2,-89;,,903d185fccf839df
1497236296842,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-84;,b4:c7:99:eb:77:d0,-72;,34:6f:90:35:f3:e0,-79;,18:ef:63:9b:5e:e9,-71;,18:ef:63:9b:5e:ea,-72;,18:ef:63:9b:5e:e7,-72;,8e:15:44:60:0e:7a,-86;,88:15:44:60:0e:7a,-88;,18:ef:63:9b:5e:e6,-68;,18:ef:63:9b:5e:e4,-70;,18:ef:63:9b:5e:e3,-70;,18:ef:63:9b:5e:e2,-71;,34:6f:90:9d:01:70,-84;,f0:29:29:d7:93:c0,-88;,18:ef:63:58:c3:06,-89;,18:ef:63:58:c3:03,-89;,18:ef:63:58:c3:04,-89;,18:ef:63:58:c3:09,-89;,18:ef:63:58:c3:02,-89;,18:83:bf:a9:65:f0,-91;,18:ef:63:9b:9a:82,-91;,18:ef:63:58:c3:0a,-91;,40:55:39:e8:d4:30,-91;,34:6f:90:9d:01:72,-84;,f0:29:29:d7:93:c2,-89;,,903d185fccf839df
